quota_index,project_id,total_correspondentes,expected_completes,country,1,16,17,19,2,25,27,profiler1010740,profiler1010744,profiler1010745,profiler1010852,profiler1011135,profiler186,profiler282,profiler702,profiler9
156,155223,0,400,15,25-34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
157,155223,0,400,15,35-44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
158,155223,0,400,15,45-54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
159,155223,0,200,15,55-99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
160,155223,0,200,15,55-99,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
161,155223,29,171,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
162,155223,20,180,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
163,155223,16,184,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
164,155223,13,187,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
165,155223,5,395,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
166,155223,2,398,15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
167,155223,0,400,15,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
168,155223,85,215,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,155223,85,215,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,155223,85,215,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,155223,85,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,155223,85,215,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,155223,85,115,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,155223,85,115,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,155223,85,215,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,155656,35,765,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
177,155656,27,173,19,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
178,155656,5,245,19,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,155656,0,250,19,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,155656,2,248,19,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,155656,53,197,19,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,155492,0,500,12,50-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,155798,0,850,3,18-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,155798,0,850,3,30-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,155798,209,131,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,155798,209,131,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,155798,209,131,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,155798,209,131,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,155798,209,131,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,155801,150,150,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
191,155801,235,65,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
193,155801,385,35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,155801,0,240,10,18-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,155801,0,240,10,30-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,155801,0,120,10,45-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,155813,40,144,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
198,155813,29,17,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
199,155813,19,39,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
200,155813,12,46,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
201,155813,23,35,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
202,155813,15,43,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
203,155813,40,18,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,155813,6,52,1,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,155813,13,45,1,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,155813,10,48,1,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,155817,50,86,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
209,155629,0,1500,23,25-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,155629,4,1496,23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
211,155822,0,600,10,18-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,155822,0,600,10,46-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,155822,133,947,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
215,155829,9,1991,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
216,155829,3,1997,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
217,155809,0,222,13,13-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,155809,0,259,13,18-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,155809,0,111,13,25-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,155809,0,74,13,35-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,155809,0,37,13,45-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,155809,0,37,13,55-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,155809,81,363,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
